livre,chapitre,verset,similarite,notre_texte,texte_github
mg_19,31,6,0.93,Halako izay mivavaka amin'ny sampy*; fa Jehovah kosa no itokiako. [*Hebreo: zava-poana mandainga],Halako izay mivavaka amin'ny sampy; fa Jehovah kosa no itokiako.<n>[Heb: zava-poana mandainga]</n>
mg_19,31,17,0.94,"Aoka tsy ho menatra aho, Jehovah o, satria miantso Anao; fa aoka kosa ho menatra ny ratsy fanahy ka hangina any amin'ny fiainan-tsy hita*. [*Hebreo: Sheola]","Aoka tsy ho menatra aho, Jehovah ô, satria miantso Anao; fa aoka kosa ho menatra ny ratsy fanahy ka hangina any amin'ny fiainan-tsi-hita. <n>[Heb: Sheola]</n>"
mg_19,32,1,0.90,Maskila. Sambatra ny olona izay voavela ny helony sy voasarona ny fahotany.,Nataon'i Davida. Maskila. Sambatra ny olona izay voavela ny helony sy voasarona ny fahotany.
mg_19,35,1,0.88,"Jehovah o, mamalia izay manana ady amiko; miadia amin'izay mamely ahy.","Nataon'i Davida. Jehovah ô, mamalia izay manana ady amiko; miadia amin'izay mamely ahy."
mg_19,35,16,0.95,Naman'ny olon-dratsy manendrikendrika ho enti-mila sitraka* izy ka nihidy vazana tamiko. [*Hebreo: hahazoa-mofo; na;tena mpanendrikendrika indrindra],Naman'ny olon-dratsy manendrikendrika ho enti-mila sitraka izy ka nihidy vazana tamiko.<n>[Heb. hahazoa-mofo; na;tena mpanendrikendrika indrindra]</n>
mg_19,36,1,0.88,", mpanompon'i Jehovah. Ny ota milaza ato am-poko ny amin'ny ratsy fanahy hoe*: tsy misy fahatahorana an'Andriamanitra ao aminy. [*Na: Misy filazana ny ao am-pon'ny ratsy fanahy manao hoe:]","Ho an'ny mpiventy hira. Nataon'i Davida, mpanompon'i Jehovah. Ny ota milaza ato am-poko ny amin'ny ratsy fanahy hoe: tsy misy fahatahorana an'Andriamanitra ao aminy.<n>[Na: Misy filazana ny ao am-pon'ny ratsy fanahy manao hoe:]</n>"
mg_19,37,1,0.92,Aoka tsy hirehitra ny fahatezeranao noho ny amin'ny mpanao ratsy; Ary aza mialona ny mpanao meloka;,Nataon'i Davida. Aoka tsy hirehitra ny fahatezeranao noho ny amin'ny mpanao ratsy; Ary aza mialona ny mpanao meloka;
mg_19,37,16,0.70,Tsara lavitra ny kely ananan'ny olo-marina anankiray Noho ny be ananan'ny ratsy fanahy maro.,Tsara lavitra ny kely ananan'ny ratsy fanahy maro.
mg_19,37,25,0.85,"Efa mba tanora ihany aho, ary efa antitra ankehitriny; Fa tsy mbola hitako izay marina nafoy, na ny zanany mangataka hanina.","Efa mba tanora ihany aho, ary efa antitra ankehitriny; Fa tsy mbola hitako mangataka hanina."
mg_19,37,37,0.94,"Diniho ny mahitsy, ka jereo ny marina; Fa misy farany* ho an'ny olona tia fihavanana*. [*Na: taranaka] [**Na: Fa fiadanana no faran'izany olona izany]","Diniho ny mahitsy, ka jereo ny marina; Fa misy farany ho an'ny olona tia fihavanana. <n>[Na: taranaka]</n><n>[Na: Fa fiadanana no faran'izany olona izany]</n>"
mg_19,38,18,0.94,Fa ny heloko no hambarako; matahotra* aho noho ny fahotako. [*Na: Malahelo],Fa ny heloko no hambarako; matahotra aho noho ny fahotako. <n>[Na: Malahelo]</n>
mg_19,38,21,0.71,"Aza mahafoy ahy, Jehovah o; Ry Andriamanitro o, aza manalavitra ahy.","Aza mahafoy ahy,Jehovah ô; Ry Andriamanitro ô, aza manalavitra ahy.Faingàna hamonjy ahy, ry Tompo, Mpamonjy ahy ô."
mg_19,39,1,0.81,"Hoy izaho: hitandrina ny lalako aho ka tsy hanota amin'ny lelako; hasiako fehim-bava ny vavako, raha mbola eo anatrehako ny ratsy fanahy.","Ho an'ny mpiventy hira. Ho an'i Jedotona Salamo nataon'i Davida. Hoy izaho: hitandrina ny lalako aho ka tsy hanota amin'ny lelako; hasiako fehim-bava ny vavako, raha mbola eo anatrehako ny ratsy fanahy."
mg_19,39,12,0.75,"Mandrenesa ny fivavako Jehovah o, ary mihainoa ny fitarainako; aza mangina amin'ny ranomasoko fa vahiny aminao aho sy mpivahiny tahaka ny razako rehetra.","Mandrenesa ny fivavako Jehovah ô,ary mihainoa ny fitarainako; aza mangina amin'ny ranomasoko fa vahiny aminao aho sy mpivahiny tahaka ny razako rehetra.Aza atrehinao aho aloha, dia ho miramirana indray, dieny aho tsy mbola lasa ka tsy ho eto intsony."
mg_19,40,1,0.79,Niandry dia niandry an'i Jehovah aho; ary nitodika nitsinjo ahy Izy ka nandre ny fitarainako.,Ho an'ny mpiventy hira. Salamo nataon'i Davida. Niandry dia niandry an'i Jehovah aho; ary nitodika nitsinjo ahy Izy ka nandre ny fitarainako.
mg_19,41,1,0.77,Sambatra izay mahatsiaro ny malahelo; Jehovah hamonjy azy amin'ny andro fahoriana.,Ho an'ny mpiventy hira. Salamo nataon'i Davida. Sambatra izay mahatsiaro ny malahelo; Jehovah hamonjy azy amin'ny andro fahoriana.
mg_19,41,12,0.40,"Ary ny amiko, dia manohana ahy amin'ny fahitsiako Ianao, ka mampitoetra ahy eo anatrehanao mandrakizay.","Ary ny amiko, dia manohana ahy amin'ny fahitsiako Hianao, ka mampitoetra ahy eo anatrehanao mandrakizay.Isaorana anie Jehovah, Andriamanitry ny Isiraely, hatramin'ny taloha indrindra ka mandrakizay. Amena dia Amena."
mg_19,42,1,0.73,"Maskila. Nataon'ny Koraita. Tahaka ny diera mihanahana maniry ny rano an'ony no anirian'ny fanahiko Anao, Andriamanitra o.","<n>[Faniriana an'Andriamanitra raha lavitra an'i Ziona]</n> Ho an'ny mpiventy hira. Maskila. Nataon'ny Koraita. Tahaka ny diera mihanahana maniry ny rano an'ony no anirian'ny fanahiko Anao, Andriamanitra ô."
mg_19,44,1,0.92,"Nataon'ny Koraita. Maskila. Ny sofinay no nandrenesanay, Andriamanitra o, ny razanay nilaza taminay ny asa nataonao tamin'ny androny, dia tamin'ny andro fahiny.","Ho an'ny mpiventy hira. Nataon'ny Koraita. Maskila. Ny sofinay no nandrenesanay, Andriamanitra ô, ny razanay nilaza taminay ny asa nataonao tamin'ny androny, dia tamin'ny andro fahiny."
mg_19,44,19,0.95,Nefa Ianao nanorotoro anay teo amin'ny fitoeran'ny amboadia* sy nanarona anay tamin'ny aloky ny fahafatesana. [*Na: jakala],Nefa Hianao nanorotoro anay teo amin'ny fitoeran'ny amboadia sy nanarona anay tamin'ny aloky ny fahafatesana.<n>[Na: jakala]</n>
mg_19,45,1,0.94,"Al-shoshanim. Nataon'ny Koraita. Maskila. Tonon-kiram-pitiavana. Mampiboiboika teny tsara ny foko; miteny aho, ka ny hilaza ny mpanjaka no teny ataoko; fanoratan'ny faingan-tsoratra ny lelako.","Ho an'ny mpiventy hira. Al-shoshanim. Nataon'ny Koraita. Maskila. Tonon-kiram-pitiavana. Mampiboiboika teny tsara ny foko; miteny aho, ka ny hilaza ny mpanjaka no teny ataoko; fanoratan'ny faingan-tsoratra ny lelako."
mg_19,46,1,0.92,Nataon'ny Koraita; At-alamoth; Tonon-kira. Andriamanitra no aro sy hery ho antsika; Mpamonjy mora azo indrindra amin'ny fahoriana Izy.,Ho an'ny mpiventy hira. Nataon'ny Koraita; At-alamoth; Tonon-kira. Andriamanitra no aro sy hery ho antsika; Mpamonjy mora azo indrindra amin'ny fahoriana Izy.
mg_19,47,1,0.89,"Nataon'ny Koraita. Salamo. Mitehafa tanana, ry firenena rehetra; mihobia ho an'Andriamanitra.","Ho an'ny mpiventy hira. Nataon'ny Koraita. Salamo. Mitehafa tanana, ry firenena rehetra; mihobia ho an'Andriamanitra."
mg_19,49,1,0.91,"Nataon'ny Koraita. Salamo. Mandrenesa izao, ry firenena rehetra; mihainoa, ry mponina rehetra amin'izao tontolo izao:","Ho an'ny mpiventy hira. Nataon'ny Koraita. Salamo. Mandrenesa izao, ry firenena rehetra; mihainoa, ry mponina rehetra amin'izao tontolo izao:"
mg_19,49,9,0.92,"Mba ho velona mandrakizay izy, ka tsy ho latsaka ao amin'ny lavaka*. [*Na: ho tratry ny lo]","Mba ho velona mandrakizay izy, ka tsy ho latsaka ao amin'ny lavaka.<n>[Na: ho tratry no lò]</n>"
mg_19,49,14,0.92,"Tahaka ny fanangona ondry no fanangona azy any amin'ny fiainan-tsy hita*; ny fahafatesana no mpiandry azy; ary hanapaka azy ny mahitsy nony maraina; ary ny bikany ho levona any amin'ny fiainan-tsy hita*, ka tsy hisy fonenany. [*Hebreo: Sheola]","Tahaka ny fanangona ondry no fanangona azy any amin'ny fiainan-tsi-hita; ny fahafatesana no mpiandry azy; ary hanapaka azy ny mahitsy nony maraina; ary ny bikany ho levona any amin'ny fiainan-tsi-hita, ka tsy hisy fonenany.<n>[Heb: Sheola]</n>"
mg_19,49,15,0.94,"Fa Andriamanitra kosa hamonjy ny aiko amin'ny herin'ny fiainan-tsy hita, 3 satria handray ahy Izy*. [*Na: Rehefa azony aho]","Fa Andriamanitra kosa hamonjy ny aiko amin'ny herin'ny fiainan-tsi-hita,3 satria handray ahy Izy.<n>[Na: Rehefa azony aho]</n>"
mg_19,51,1,0.65,"Mamindrà fo amiko, Andriamanitra o, araka ny fahasoavanao; araka ny haben'ny fiantranao vonoy ny fahadisoako.","Ho an'ny mpiventy hira. Salamo nataon'i Davida, fony Natana mpaminany nankao aminy rehefa naka an'i Batseba izy. Mamindrà fo amiko, Andriamanitra ô, araka ny fahasoavanao; araka ny haben'ny fiantranao vonoy ny fahadisoako."
mg_19,51,7,0.94,"Diovy hysopa aho ho afa-pahotana, dia hadio; sasao aho, dia ho fotsy mangatsakatsaka*. [*Hebreo: toy ny oram-panala]","Diovy hysopa aho ho afa-pahotana, dia hadio; sasao aho, dia ho fotsy mangatsakatsaka.<n>[Heb: toy ny oram-panala]</n>"
mg_19,51,14,0.95,"Vonjeo ho afaka amin'ny valin-drà aho, Andriamanitra o, Andriamanitry ny famonjena ahy; hihoby ny fahamarinanao ny vavako*. [*Hebreo: ny lelako]","Vonjeo ho afaka amin'ny valin-drà aho, Andriamanitra ô, Andriamanitry ny famonjena ahy; hihoby ny fahamarinanao ny vavako.<n>[Heb: ny lelako]</n>"
mg_19,53,1,0.93,"Al-mahalath. Maskila nataon'i Davida. Ny adala manao anakampo hoe: tsy misy Andriamanitra. Manao izay ratsy sy vetaveta izy, tsy misy manao ny tsara.","Ho an'ny mpiventy hira. Al-mahalath. Maskila nataon'i Davida. Ny adala manao anakampo hoe: tsy misy Andriamanitra. Manao izay ratsy sy vetaveta izy, tsy misy manao ny tsara."
mg_19,54,1,0.94,"Hampiarahina amin'ny valiha. Maskila nataon'i Davida, fony tonga ny Zifita ka nanao tamin'i Saoly hoe: Tsy miery any aminay va Davida? Vonjeo amin'ny anaranao aho, Andriamanitra o, ary omeo rariny aho araka ny herinao.","Ho an'ny mpiventy hira. Hampiarahina amin'ny valiha. Maskila nataon'i Davida, fony tonga ny Zifita ka nanao tamin'i Saoly hoe: Tsy miery any aminay va Davida? Vonjeo amin'ny anaranao aho, Andriamanitra ô, ary omeo rariny aho araka ny herinao."
mg_19,55,1,0.91,"Hampiarahina amin'ny valiha. Maskila nataon'i Davida. Mihainoa ny fivavako, Andriamanitra o, ary aza miery amin'ny fitarainako.","Ho an'ny mpiventy hira. Hampiarahina amin'ny valiha. Maskila nataon'i Davida. Mihainoa ny fivavako, Andriamanitra ô, ary aza miery amin'ny fitarainako."
mg_19,55,15,0.91,"Aoka hanampoka azy ny fahafatesana*. Aoka hidina velona any amin'ny fiainan-tsy hita** izy; fa ratsy no ao amin'ny fonenany, dia ao afovoany***. [*Na: Aoka hahazo azy ny fandringanana] [**Hebreo: Sheola] [***Na: Fa hevi-dratsy ny ao amin'ny firaketany, dia ao am-pony]","Aoka hanampoka azy ny fahafatesana. Aoka hidina velona any amin'ny fiainan-tsi-hita izy; fa ratsy no ao amin'ny fonenany, dia ao afovoany. <n>[Na: Aoka hahazo azy ny fandringanana]</n><n>[Heb: Sheola]</n><n>[Na: Fa hevi-dratsy ny ao amin'ny firaketany, dia ao am-pony]</n>"
mg_19,56,1,0.94,"Al-jonathelem-rehokim. Miktama nataon'i Davida, fony nisambotra azy tany Gata ny Filistina. Mamindrà fo amiko, Andriamanitra o, fa misafoaka manenjika ahy ny olona; miady amiko mandrakariva izy ka mampahory ahy.","Ho an'ny mpiventy hira. Al-jonathelem-rehokim. Miktama nataon'i Davida, fony nisambotra azy tany Gata ny Filistina. Mamindrà fo amiko, Andriamanitra ô, fa misafoaka manenjika ahy ny olona; miady amiko mandrakariva izy ka mampahory ahy."
mg_19,58,1,0.91,"Al-tasheth. Miktama nataon'i Davida. Moa ny tsy fitenenana va ataonareo ho filazana ny marina*? Mitsara mahitsy va ianareo, ry zanak'olombelona? [*Na: Moa milaza ny maraina tokoa va ianareo, ry mahery?]","Ho an'ny mpiventy hira. Al-tasheth. Miktama nataon'i Davida. Moa ny tsi-fitenenana va ataonareo ho filazana ny marina? Mitsara mahitsy va ianareo, ry zanak'olombelona?<n>[Na: Moa milaza ny maraina tokoa va ianareo, ry mahery?]</n>"
mg_19,58,11,0.95,Dia hiteny ny olona ka hanao hoe: misy valiny* tokoa ho an'ny marina; misy tokoa Andriamanitra Izay mitsara ety ambonin'ny tany. [*Hebreo: vokatra],Dia hiteny ny olona ka hanao hoe: misy valiny tokoa ho an'ny marina; misy tokoa Andriamanitra Izay mitsara etỳ ambonin'ny tany.<n>[Heb: vokatra]</n>
mg_19,59,1,0.63,"Afaho amin'ny fahavaloko aho, Andriamanitro o; asondroty eo amin'ny avo aho tsy ho azon'izay miodina amiko.","Ho an'ny mpiventy hira. Al-tasheth. Miktama nataon'i Davida, fony Saoly naniraka, ka nisy niambina ny trano hamonoana azy. Afaho amin'ny fahavaloko aho, Andriamanitro ô; asondroty eo amin'ny avo aho tsy ho azon'izay miodina amiko."
mg_19,59,4,0.92,"Tsy heloko* no ihazakazahany sy iomanany, koa mifohaza hitsena ahy, ka jereo. [*Hebreo: vokatra]","Tsy heloko no ihazakazahany sy iomanany, koa mifohaza hitsena ahy, ka jereo.<n>[Heb. vokatra]</n>"
mg_19,59,8,0.94,"Kanjo Ianao, Jehovah o, hihomehy azy; Ianao haneso ny firenena rehetra.","Kanjo Hianao, Jehovah ô, hihomehy azy; Hianao haneso ny firenena rehetra."
mg_19,59,16,0.51,"Fa izaho kosa dia hihira ny herinao, ary hihoby ny famindram-ponao nony maraina, satria fiarovana avo ho ahy Ianao, ary fandosirako amin'ny andro fahoriana.","Fa izaho kosa dia hihira ny herinao, ary hihoby ny famindram-ponao nony maraina, satria fiarovana avo ho ahy Hianao, ary fandosirako amin'ny andro fahoriana.Ry Heriko ô, Hianao no hankalazaiko; fa Andriamanitra no fiarovana avo ho ahy, dia Andriamanitra Izay mamindra fo amiko."
mg_19,60,10,0.94,"Tsy Ianao va, Izay efa nanary anay*, Andriamanitra o. Sady tsy nivoaka niaraka tamin'ny antokon'ny miaramilanay, Andriamanitra o? [*Na: Tsy efa nanary anay va Ianao]","Tsy Hianao va, Izay efa nanary anay, Andriamanitra ô. Sady tsy nivoaka niaraka tamin'ny antokon'ny miaramilanay, Andriamanitra ô? <n>[Na: Tsy efa nanary anay va Hianao]</n>"
mg_19,61,1,0.89,"Hampiarahina amin'ny valiha. Nataon'i Davida. Henoy ny fitarainako, Andriamanitra o; tandremo ny fivavako.","Ho an'ny mpiventy hira. Hampiarahina amin'ny valiha. Nataon'i Davida. Henoy ny fitarainako, Andriamanitra ô; tandremo ny fivavako."
mg_19,62,1,0.90,Al-jedotona. Salamo nataon'i Davida. Andriamanitra tokoa no iantombenan'ny fanahiko; avy aminy ny famonjena ahy.,Ho an'ny mpiventy hira. Al-jedotona. Salamo nataon'i Davida. Andriamanitra tokoa no iantombenan'ny fanahiko; avy aminy ny famonjena ahy.
mg_19,63,1,0.91,"Salamo nataon'i Davida, fony tany an'efitr'i Joda izy. ANDRIAMANITRA o, Andriamanitro Ianao; mitady Anao fatratra aho; mangetaheta Anao ny fanahiko, maniry Anao ny nofoko, eto amin'ny tany maina sy mangentana tsy misy rano;","Salamo nataon'i Davida, fony tany an-efitr'i Joda izy. ANDRIAMANITRA ô, Andriamanitro Hianao; mitady Anao fatratra aho; mangetaheta Anao ny fanahiko, maniry Anao ny nofoko, eto amin'ny tany maina sy mangentana tsy misy rano;"
mg_19,63,10,0.53,Hatolotra ho amin'ny herin'ny sabatra izy; ho anjaran'ny amboahaolo* izy. [*volpa],Hatolotra ho amin'ny herin'ny sabatra izy; ho anjaran'ny amboahaolo izy.<n>[volpa]</n>Fa ny mpanjaka hifaly amin'Andriamanitra; ho ravoravo izay rehetra mianiana aminy; fa hakombona ny vavan'izay rehetra mandainga.
mg_19,64,1,0.79,"Henoy ny feoko, raha mitaraina aho, Andriamanitra o; arovy ny aiko amin'ny tahotro ny fahavalo.","Ho an'ny mpiventy hira. Salamo nataon'i Davida. Henoy ny feoko, raha mitaraina aho, Andriamanitra ô; arovy ny aiko amin'ny tahotro ny fahavalo."
mg_19,65,1,0.91,"Salamo nataon'i Davida. Tonon-kira. Ho anao ny fanginana sy ny fiderana*, Andriamanitra any Ziona o, ary aminao no anefana ny voady. [*Na: Ny fiononana dia fiderana ankasitrahinao]","Ho an'ny mpiventy hira.Salamo nataon'i Davida. Tonon-kira. Ho anao ny fanginana sy ny fiderana, Andriamanitra any Ziona ô, ary aminao no anefana ny voady.<n>[Na: Ny fiononana dia fiderana ankasitrahinao]</n>"
mg_19,65,12,0.66,"Vonton-drano ny fiandrasana ondry any an'efitra, ary misikina fifaliana ny havoana.","Vonton-drano ny fiandrasana ondry any an-efitra, ary misikina fifaliana ny havoana.Rakotra ondry ny saha; ary voasarona vary ny lohasaha: mihoby izy, eny, mihira koa."
mg_19,66,1,0.84,"Tonon-kira. Salamo. Mihobia ho an'Andriamanitra, ry tany rehetra;","Ho an'ny mpiventy hira. Tonon-kira. Salamo. Mihobia ho an'Andriamanitra, ry tany rehetra;"
mg_19,66,18,0.93,"Raha nankasitraka* ota tao am-poko aho, dia tsy mba hihaino ny Tompo; [*Hebreo: nijery]","Raha nankasitraka ota tao am-poko aho, dia tsy mba hihaino ny Tompo;<n>[Heb: nijery]</n>"
mg_19,67,1,0.92,Hampiarahina amin'ny valiha. Salamo. Tonon-kira. Andriamanitra anie hamindra fo aminay sy hitahy anay; hampamirapiratra ny tavany aminay anie Izy;,Ho an'ny mpiventy hira. Hampiarahina amin'ny valiha. Salamo. Tonon-kira. Andriamanitra anie hamindra fo aminay sy hitahy anay; hampamirapiratra ny tavany aminay anie Izy;
mg_19,68,1,0.83,"Tonon-kira. Aoka hitsangana Andriamanitra, ka hiely ny fahavalony; ary aoka izay mankahala Azy handositra ny tavany.","Ho an'ny mpiventy hira. Salamo nataon'i Davida. Tonon-kira. Aoka hitsangana Andriamanitra, ka hiely ny fahavalony; ary aoka izay mankahala Azy handositra ny tavany."
mg_19,68,10,0.92,"Ny olonao* tamàn-toerana teo; mamboatra ho an'ny ory araka ny fahasoavanao Ianao, Andriamanitra o. [*Hebreo: bibinao]","Ny olonao tamàn-toerana teo; mamboatra ho an'ny ory araka ny fahasoavanao Hianao, Andriamanitra ô.<n>[Heb. bibinao]</n>"
mg_19,69,1,0.88,"Al-shoshanim. Nataon'i Davida. Vonjeo aho, Andriamanitra o; fa efa mihatra amin'ny aiko ny rano.","Ho an'ny mpiventy hira. Al-shoshanim. Nataon'i Davida. Vonjeo aho, Andriamanitra ô; fa efa mihatra amin'ny aiko ny rano."
mg_19,70,1,0.80,"Ho fampahatsiarovana. Andriamanitra o, faingàna hanafaka ahy; Jehovah o, faingàna hamonjy ahy.","Ho an'ny mpiventy hira. Nataon'i Davida. Ho fampahatsiarovana. Andriamanitra ô, faingàna hanafaka ahy; Jehovah ô, faingàna hamonjy ahy."
mg_19,72,2,0.94,"Hitsara* ny olonao amin'ny fahamarinana izy. Ary ny malahelonao amin'ny fahitsiana. [*Na: Aoka, etc]","Hitsara ny olonao amin'ny fahamarinana izy. Ary ny malahelolonao amin'ny fahitsiana.<n>[Na: Aoka, etc]</n>"
mg_19,72,4,0.90,"Hitsara* ny olona ory izy sy hamonjy ny zanaky ny mahantra ary hanorotoro ny mpampahory. [*Na: Aoka, etc]",Hitsara2 ny olona ory izy sy hamonjy ny zanaky ny mahantra ary hanorotoro ny mpampahory.
mg_19,72,5,0.92,"Hatahotra* anao ny olona, raha mbola maharitra koa ny masoandro sy ny volana hatramin'ny taranaka fara mandimby. [*Na: Aoka, etc]","Hatahotra2 anao ny olona, raha mbola maharitra koa ny masoandro sy ny volana hatramin'ny taranaka fara mandimby."
mg_19,72,6,0.91,"Hidina* tahaka ny ranonorana amin'ny saha voajinja izy, tahaka ny ranonorana mivatravatra amin'ny tany. [*Na: Aoka, etc]","Hidina2 tahaka ny ranonorana amin'ny saha voajinja izy, tahaka ny ranonorana mivatravatra amin'ny tany."
mg_19,72,7,0.91,"Ny* marina hitrebona amin'ny androny, ary ho be ny fiadanana mandra-paha-tsy hisy volana intsony. [*Na: Aoka, etc]","Ny2 marina hitrebona amin'ny androny, ary ho be ny fiadanana mandra-paha-tsy hisy volana intsony."
mg_19,72,17,0.94,"Ho mandrakizay ny anarany; raha mbola maharitra koa ny masoandro, dia hanorobona ny anarany; ary izy ho fitahiana ny olona; ny firenena rehetra hanao azy ho sambatra*. [*Izaho Genesisy 22:18]","Ho mandrakizay ny anarany; raha mbola maharitra koa ny masoandro, dia hanorobona ny anarany; ary izy ho fitahiana ny olona; ny firenena rehetra hanao azy ho sambatra.<n>[Izaho Gen.xxii. 18]</n>"
mg_19,73,1,0.62,"Salamo nataon'i Asafa. Andriamanitra mahasoa ny Isiraely tokoa, dia ny madio fo.","<n>[Ny amin'ny tsy hahaketraka ny olon'Andriamanitra, raha mahita ny ratsy fanahy ambinina]</n> Salamo nataon'i Asafa. Andriamanitra mahasoa ny Isiraely tokoa, dia ny madio fo."
mg_19,73,22,0.94,"Dia ketrina aho ka tsy nahalala; eny, biby* teo anatrehanao aho. [*Na: hipopotamosy]","Dia ketrina aho ka tsy nahalala; eny, biby teo anatrehanao aho.<n>[Na: hipopotamosy]</n>"
mg_19,75,1,0.91,"Al-tasheth. Salamo nataon'i Asafa. Tonon-kira. Hisaoranay Ianao, Andriamanitra o; eny, hisaoranay Ianao; fa akaiky ny anaranao; mitory ny fahagagana ataonao ny olona.","Ho an'ny mpiventy hira. Al-tasheth. Salamo nataon'i Asafa. Tonon-kira. Hisaoranay Hianao, Andriamanitra ô; eny, hisaoranay Hianao; fa akaiky ny anaranao; mitory ny fahagagana ataonao ny olona."
mg_19,76,1,0.92,Hampiarahina amin'ny valiha. Salamo nataon'i Asafa. Tonon-kira. Andriamanitra dia fantatra eo amin'ny Joda; malaza eo amin'ny Isiraely ny anarany;,Ho an'ny mpiventy hira. Hampiarahina amin'ny valiha. Salamo nataon'i Asafa. Tonon-kira. Andriamanitra dia fantatra eo amin'ny Joda; malaza eo amin'ny Isiraely ny anarany;
mg_19,76,4,0.94,Mamirapiratra Ianao sady be voninahitra miseho avy any amin*'ny tendrombohitra fitohàna. [*Na: noho],Mamirapiratra Hianao sady be voninahitra miseho avy any amin'ny tendrombohitra fitohàna.<n>[Na: noho]</n>
mg_19,76,5,0.94,Voababo ny mahery fo; renoky ny torimasony izy; ary samy ankona tsy nahahetsika* ny tanany avokoa ny olo-mahery rehetra. [*Hebreo: nahita],Voababo ny mahery fo; renoky ny torimasony izy; ary samy ankona tsy nahahetsika ny tànany avokoa ny olo-mahery rehetra.<n>[Heb. nahita]</n>
mg_19,77,1,0.93,"Al-jedotona. Salamo nataon'i Asafa. Ny feoko dia mankany amin'Andriamanitra, ka mitaraina aho; eny, ny feoko mankany amin'Andriamanitra, ka mihaino ahy Izy.","Ho an'ny mpiventy hira. Al-jedotona. Salamo nataon'i Asafa. Ny feoko dia mankany amin'Andriamanitra, ka mitaraina aho; eny, ny feoko mankany amin'Andriamanitra, ka mihaino ahy Izy."
mg_19,80,1,0.85,"Al-shoshanim-edoth. Salamo nataon'i Asafa. Ry Mpiandry ny Isiraely o, mihainoa, Ianao Izay mitondra an'i Josefa toy ny ondry; Ianao, Izay mipetraka amin'ny kerobima, mamirapiratra.","Ho an'ny mpiventy hira. Al-shoshanim-edoth. Salamo nataon'i Asafa. Ry Mpiandry ny Isiraely ô, mihainoa, Hianao Izay mitondra an'i Josefa toy ny ondry; Hianao, Izay mipetraka amin'ny kerobima, mamirapiratra."
mg_19,80,10,0.95,"Nanaloka ny tendrombohitra ny alokalony, ary ny sampany nanaloka ny sedera andrian-kazo*. [*Hebreo: sederan'Andriamanitra]","Nanaloka ny tendrombohitra ny alokalony, ary ny sampany nanaloka ny sedera andrian-kazo.<n>[Heb: sederan'Andriamanitra]</n>"
mg_19,80,15,0.95,Arovy* izay nambolen'ny tananao ankavanana sy ny zanaka izay nampaherezinao ho Anao. [*Na: Dia],Arovy izay nambolen'ny tananao ankavanana sy ny zanaka izay nampaherezinao ho Anao.<n>[Na: Dia]</n>
mg_19,81,1,0.91,Al-gitith. Nataon'i Asafa. Mihobia ho an'Andriamanitra herintsika; manaova feo fifaliana ho an'Andriamanitr'i Jakoba.,Ho an'ny mpiventy hira. Al-gitith. Nataon'i Asafa. Mihobia ho an'Andriamanitra herintsika; manaova feo fifaliana ho an'Andriamanitr'i Jakoba.
mg_19,84,1,0.89,"Al-hagitith. Salamo nataon'ny Koraita. Endrey ny hatsaran'ny tabernakelinao, Jehovah, Tompon'ny maro, o!","Ho an'ny mpiventy hira. Al-hagitith. Salamo nataon'ny Koraita. Endrey ny hatsaran'ny tabernakelinao, Jehovah, Tompon'ny maro, ô!"
mg_19,85,1,0.89,"Salamo nataon'ny Koraita. Jehovah o, efa naneho fitia tamin'ny taninao Ianao, Efa nampodinao Jakoba avy tamin'ny fahababoany.","Ho an'ny mpiventy hira. Salamo nataon'ny Koraita. Jehovah ô, efa naneho fitia tamin'ny taninao Hianao, Efa nampodinao Jakoba avy tamin'ny fahababoany."
mg_19,86,13,0.93,Fa lehibe ny famindram-ponao amiko; Ary efa novonjenao ny fanahiko tsy ho any amin'ny fiainan-tsy hita* ambany indrindra. [*Hebreo: Shoela],Fa lehibe ny famindram-ponao amiko; Ary efa novonjenao ny fanahiko tsy ho any amin'ny fiainan-tsi-hita ambany indrindra.<n>[Heb. Shoela]</n>
mg_19,88,1,0.60,"Jehovah o, Andriamanitry ny famonjena ahy, Andro aman'alina no itarainako eo anatrehanao;","Tonon-kira. Salamo nataon'ny Koraita. Ho an'ny mpiventy hira. Almahalath-leanoth. Maskila nataon'i Hemana Ezrahita. Jehovah ô, Andriamanitry ny famonjena ahy, Andro aman'alina no itarainako eo anatrehanao;"
mg_19,88,3,0.90,Fa diboka ny fahoriana ny fanahiko; Ary ny aiko manakaiky ny fiainan-tsy hita*. [*Hebreo: Sheola],Fa diboka ny fahoriana ny fanahiko; Ary ny aiko manakaiky ny fiainan-tsi-hita.<n>[Heb. Sheola]</n>
mg_19,89,43,0.94,Efa nampihemotra* ny lelan'ny sabany Ianao Ka tsy nampaharitra azy tamin'ny ady. [*Na: nampilefitra],Efa nampihemotra ny lelan'ny sabany Hianao Ka tsy nampaharitra azy tamin'ny ady.<n>[Na: nampilefitra]</n>
mg_19,89,48,0.93,"Iza no olona ho velona tsy hahita fahafatesana, Fa hamonjy ny fanahiny tsy ho azon'ny tanan'ny fiainan-tsy hita*? [*Hebreo: Sheola]","Iza no olona ho velona tsy hahita fahafatesana, Fa hamonjy ny fanahiny tsy ho azon'ny tanan'ny fiainan-tsi-hita? <n>[Heb. Sheola]</n>"
