livre,chapitre,verset,notre_texte,texte_github_concatene
mg_18,6,29,"Masïna ianareo, diniho indray aho, ary aoka tsy hisy fitsarana tsy marina; eny, diniho indray aho, fa mbola ao ihany ny fahamarinako.","Masìna ianareo, diniho indray aho, ary aoka tsy hisy fitsarana tsy marina; eny, diniho indray aho, fa mbola ao ihany ny fahamarinako.Moa misy heloka va eo amin'ny lelako?"
mg_18,7,20,"Na dia ho nanota aza aho, nampaninona Anao moa izany, ry Mpandinika ny olombelona? Nahoana no dia nataonao fikendry aho, ka efa tonga enta-mavesatra amiko aho?","Na dia ho nanota aza aho, nampaninona Anao moa izany, ry Mpandinika ny olombelona? Nahoana no dia nataonao fikendry aho, ka efa tonga enta-mavesatra amiko aho?Ary nahoana no tsy mamela ny fahadisoako sy manaisotra ny heloko Hianao? Fa izao dia efa handry any amin'ny vovoka aho; ary hitady ahy fatratra Hianao, fa tsy ho atỳ intsony aho."
mg_18,8,21,Mbola hofenoiny hehy ny vavanao sy hoby ny molotrao.,Mbola hofenoiny hehy ny vavanao sy hoby ny molotrao.Izay mankahala anao hitafy henatra; Ary tsy hisy intsony ny lain'ny ratsy fanahy.
mg_18,9,34,"Aoka hanaisotra ny tsorakazony amiko Izy, ary aoka tsy hampahatsiravina ahy ny fampitahorany,","Aoka hanaisotra ny tsorakazony amiko Izy, ary aoka tsy hampahatsiravina ahy ny fampitahorany,Dia hiteny aho ka tsy hatahotra Azy; Fa fantatro fa tsy hatahotra foana aho."
mg_18,10,21,"Dieny tsy mbola lasa tsy hiverina aho, dia ho any amin'ny tanin'ny aizina sy ny aloky ny fahafatesana,","Dieny tsy mbola lasa tsy hiverina aho, dia ho any amin'ny tanin'ny aizina sy ny aloky ny fahafatesana,Ho any amin'ny tany maizim-pito, dia ny an'ny aloky ny fahafatesana sy ny fikorontanana, sady maizim-pito ny famirapiratana any."
mg_18,11,19,"Dia ho tafandry ianao, fa tsy hisy hanaitaitra; Ary maro no hila sitraka aminao.","Dia ho tafandry ianao, fa tsy hisy hanaitaitra; Ary maro no hila sitraka aminao.Fa ny mason'ny ratsy fanahy kosa ho pahina, ka ho very avokoa ny fiarovana azy, ary ny fialàna aina ihany no hany sisa azony antenaina."
mg_18,14,21,"Omem-boninahitra ny zanany nefa tsy fantany; Ary mietry ireo, nefa tsy hitany.","Omem-boninahitra ny zanany nefa tsy fantany; Ary mietry ireo, nefa tsy hitany.Ny mihatra amin'ny tenany ihany no mampanaintaina azy, ary ny mihatra amin'ny tenany ihany no mampalahelo ny fanahiny."
mg_18,17,15,Fa aiza ary ny fanantenako? Ary iza no mahita azy?,"Fa aiza ary ny fanantenako? Ary iza no mahita azy?Midina any amin'ny vavahadin'ny fiainan-tsi-hita izany, raha mba hahita fitsaharana ao amin'ny vovoka aho.<n>[Heb. Sheola]</n>"
mg_18,18,20,"Ny manjo azy dia italanjonan'ny any andrefana, ary ny any atsinanana raiki-tahotra.","Ny manjo azy dia italanjonan'ny any andrefana, ary ny any atsinanana raiki-tahotra.Izany tokoa no anjaran'ny ratsy fanahy, ary izany no manjo ny tsy mahalala an'Andriamanitra."
mg_18,20,28,"Ho lasa ny harena tafiditra ao an-tranony; Eny, ho levona izany amin'ny andro fahatezerany.","Ho lasa ny harena tafiditra ao an-tranony; Eny, ho levona izany amin'ny andro fahatezerany.Izany no anjaran'ny ratsy fanahy avy amin'Andriamanitra, sy lova voatendrin'Andriamanitra ho azy."
mg_18,21,33,"Ho mamy aminy ny bainga any an-dohasaha, ary ny olona rehetra hanaraka azy, toy ny nandehanan'ny maro tany alohany.","Ho mamy aminy ny bainga any an-dohasaha, ary ny olona rehetra hanaraka azy, toy ny nandehanan'ny maro tany alohany.Endrey! ity ianareo mba mampionona ahy foana! Ary ny famalianareo anefa, raha voasana tsara, dia lainga ihany!"
mg_18,24,24,"Nasandratra izy, kanjo vetivety dia tsy ao intsony, dia mihalevona izy ka otazana tahaka ny olona rehetra, ary tangosana tahaka ny salohim-bary.","Nasandratra izy, kanjo vetivety dia tsy ao intsony, dia mihalevona izy ka otazana tahaka ny olona rehetra, ary tangosana tahaka ny salohim-bary.Raha tsy izany, dia aoka hisy hamaky lainga ahy ka hampiseho ny teniko ho tsinontsinona."
mg_18,25,5,"Indro, ny volana aza tsy mangarangarana, ary ny kintana aza tsy madio eo imasony;","Indro, ny volana aza tsy mangarangarana, ary ny kintana aza tsy madio eo imasony;Koa mainka fa ny olombelona, izay kankana, ary ny zanak'olombelona, izay olitra."
mg_18,26,13,Ny fanahiny no mahatsara tarehy ny lanitra; Ny tanany no nitomboka ny menarana mandositra.,"Ny fanahiny no mahatsara tarehy ny lanitra; Ny tànany no nitomboka ny menarana mandositra.Indro, ireny dia vao ny sisintsisin'ny alehany ihany aza, ary siosion-teny mamelovelo no andrenesantsika Azy; Fa raha ny fikotrokotroky ny heriny, iza moa no mahatakatra izany?"
mg_18,28,27,"Dia nahita ka nanambara azy Izy; Eny, nanorina azy Izy sady namantatra azy;","Dia nahita ka nanambara azy Izy; Eny, nanorina azy Izy sady namantatra azy;Dia hoy Izy tamin'ny olona: Indro, ny fahatahorana ny Tompo no fahendrena. Ary ny fialàna amin'ny ratsy no fahalalana."
mg_18,29,24,"Raha nisy nila ho ketraka, dia mbola niseho miramirana taminy ihany ny tarehiko, ary tsy nahamaloka ny fahazavan'ny tavako ireo.","Raha nisy nila ho ketraka, dia mbola niseho miramirana taminy ihany ny tarehiko, ary tsy nahamaloka ny fahazavan'ny tavako ireo.Nifidy ny lalan-kalehany aho ka nipetraka ho lohany, eny, nitoetra toy ny mpanjaka teo amin'ny miaramila sy toy ny mpampionona ny misaona aho."
mg_18,32,21,"Aoka tsy hizaha tavan'olona akory aho, ary aoka tsy handrobo olona.","Aoka tsy hizaha tavan'olona akory aho, ary aoka tsy handrobo olona.Fa tsy mba mahay mandrobo aho; Raha izany, dia halain'ny Mpanao ahy faingana aho."
mg_18,33,32,"Raha manan-kavaly ianao, dia mamalia ahy ihany; Mitenena, fa ta-hanamarina anao aho;","Raha manan-kavaly ianao, dia mamalia ahy ihany; Mitenena, fa ta-hanamarina anao aho;Fa raha tsy manan-kavaly ianao, dia mihainoa ahy kosa; Mangina tsara, fa hampianariko fahendrena ianao."
mg_18,34,36,Enga anie ka hizahan-toetra mandrakariva Joba noho ny famaliana ataony araka ny fanaon'ny ratsy fanahy!,Enga anie ka hizahan-toetra mandrakariva Joba noho ny famaliana ataony araka ny fanaon'ny ratsy fanahy!Fa ampiany fihaikana koa ny fahotany; Miteha-tanana eto amintsika izy ka manao teny maro ho enti-miady amin'Andriamanitra.
mg_18,35,15,"Koa raha saingy tsy mihatra ny fahatezerany, moa dia tsy fantany tsara koa va ny fihaikana?","Koa raha saingy tsy mihatra ny fahatezerany, moa dia tsy fantany tsara koa va ny fihaikana?Mba miloa-bava foana anefa Joba ary manao teny maro tsy amim-pahalalana."
mg_18,38,40,Raha mamitsaka ao amin'ny fitoerany izy ary manotrika ao amin'ny kirihitrala?,"Raha mamitsaka ao amin'ny fitoerany izy ary manotrika ao amin'ny kirihitrala?Iza moa no manome hanina ny goaika, raha mitaraina amin'Andriamanitra ny zanany ka mirenireny tsy mahita hanina?"
mg_18,39,29,Any no itazanany remby; Mahatsinjo lavitra ny masony.,"Any no itazanany remby; Mahatsinjo lavitra ny masony.Mitsentsitra rà ny zanany, ary izay itoeran'ny faty dia any izy."
mg_18,40,31,"Mahafeno lefom-pohy ny hodiny va ianao, na firombaka amin'ny lohany?","Mahafeno lefom-pohy ny hodiny va ianao, na firombaka amin'ny lohany?Atehefo aminy ange ny tananao; Raha tsaroanao ny ady, dia tsy hanindroa intsony ianao."
mg_18,41,25,"Tsy misy tahaka azy eny ambonin'ny tany, izay voaforona tsy hahalala tahotra.","Tsy misy tahaka azy eny ambonin'ny tany, izay voaforona tsy hahalala tahotra.Ny avo rehetra jereny avokoa; Mpanjakan'ny bibi-dia rehetra izy"
mg_18,42,16,Ary mbola velona efa-polo amby zato taona Joba taorian'izany ka nahita ny zananilahy sy ny zafiny ka hatramin'ny zafin-dohaliny aza.,"Ary mbola velona efa-polo amby zato taona Joba taorian'izany ka nahita ny zananilahy sy ny zafiny ka hatramin'ny zafin-dohaliny aza.Dia maty Joba, rehefa tratrantitra ka ela niainana.<n>[Heb. voky andro]</n>"
mg_19,1,5,"Ary noho izany ny ratsy fanahy dia tsy hahajanona eo amin'ny fitsarana, na ny mpanota eo amin'ny fiangonan'ny marina.","Ary noho izany ny ratsy fanahy dia tsy hahajanona eo amin'ny fitsarana, na ny mpanota eo amin'ny fiangonan'ny marina.Fa fantatr'i Jehovah ny lalan'ny marina, fa ny lalan'ny ratsy fanahy kosa dia mankany amin'ny fahaverezana."
mg_19,2,11,"Manompoa an'i Jehovah amin'ny fahatahorana, ary mifalia amin'ny fangovitana.","Manompoa an'i Jehovah amin'ny fahatahorana, ary mifalia amin'ny fangovitana.Manoroha ny zanaka, fandrao ho tezitra izy, ka ho very eny an-dalana ianareo; fa vetivety dia hirehitra ny fahatezerany. Sambatra izay rehetra mialoka aminy."
mg_19,4,7,Efa nasianao fifaliana ny foko mihoatra noho ny tamin'ny taona nahabetsahan'ny variny sy ny ranom-boalobony.,"Efa nasianao fifaliana ny foko mihoatra noho ny tamin'ny taona nahabetsahan'ny variny sy ny ranom-boalobony.Handry amin'ny fiadanana aho, ka dia hatory miaraka amin'izay, satria Hianao, Jehovah ô, no mampitoetra ahy mitokana irery tsy manana ahiahy."
mg_19,6,9,Jehovah efa nandre ny fangatahako; Jehovah no handray ny fivavahako.,Jehovah efa nandre ny fangatahako; Jehovah no handray ny fivavahako.Ho menatra sy hangovitra indrindra ny fahavaloko rehetra; hihodina izy ka ho menatra tampoka.
mg_19,7,16,Mitsingerina ho eo an-dohany ihany ny fampahoriany; ary eo an-tampon-dohany ihany no ianjeran'ny loza nataony.,"Mitsingerina ho eo an-dohany ihany ny fampahoriany; ary eo an-tampon-dohany ihany no ianjeran'ny loza nataony.Hidera an'i Jehovah araka ny fahamarinany aho, ary hankalaza ny anaran'i Jehovah Avo Indrindra."
mg_19,9,19,"Mitsangàna, Jehovah o, aoka tsy hahery ny olona; aoka hotsaraina eo anatrehanao ny jentilisa.","Mitsangàna, Jehovah ô, aoka tsy hahery ny olona; aoka hotsaraina eo anatrehanao ny jentilisa.Asio fampahatahorana izy, Jehovah ô; aoka ho fantatry ny jentilisa fa olona ihany izy. <n>[Na: fampianarana]</n>"
mg_19,11,6,Handatsaka fandrika amin'ny ratsy fanahy Izy tahaka ny fandatsaka ranonorana; afo sy solifara ary rivo-mahamay no ho anjara kapoakany.,"Handatsaka fandrika amin'ny ratsy fanahy Izy tahaka ny fandatsaka ranonorana; afo sy solifara ary rivo-mahamay no ho anjara kapoakany.Fa marina Jehovah, ka fahamarinana no tiany; ny mahitsy no hahita ny tavany.<n>[Na: Ny mahitsy no hitan'ny tavany]</n>"
mg_19,13,5,"Fa raha izaho kosa, dia ny famindram-ponao no itokiako; ho faly amin'ny famonjenao ny foko.","Fa raha izaho kosa, dia ny famindram-ponao no itokiako; ho faly amin'ny famonjenao ny foko.Hihira ho an'i Jehovah aho, satria nanisy soa ahy Izy;"
mg_19,14,6,"Na dia foananareo aza ny fisainan'ny ory, Jehovah kosa no arony.","Na dia foananareo aza ny fisainan'ny ory, Jehovah kosa no arony.Enga anie ka hivoaka avy ao Ziona ny famonjena ny Isiraely! Raha ampodin'i Jehovah avy amin'ny fahababoana ny olony, dia ho faly Jakoba, ary ho ravoravo Isiraely."
mg_19,17,14,"Vonjeo amin'ny tananao aho, Jehovah o, mba tsy ho azon'ny olon'izao tontolo izao, izay manana ny anjarany amin'izao fiainana izao, sady fenoinao ny harenao ny kibony; Maro anaka izy, dia mamela ny fananany be ho an'ny zanany madinika.","Vonjeo amin'ny tananao aho, Jehovah ô, mba tsy ho azon'ny olon'izao tontolo izao, izay manana ny anjarany amin'izao fiainana izao, sady fenoinao ny harenao ny kibony; Maro anaka izy, dia mamela ny fananany be ho an'ny zanany madinika.Fa izaho kosa, dia aoka hahita ny tavanao amin'ny fahamarinana; aoka ny endrikao no hahafa-po ahy, raha mifoha."
mg_19,18,49,"Koa izany no hiderako Anao eny amin'ny firenen-tsamy hafa, Jehovah o, sy hankalazako ny anaranao.","Koa izany no hiderako Anao eny amin'ny firenen-tsamy hafa, Jehovah ô, sy hankalazako ny anaranao.Manao famonjen-dehibe ho an'ny mpanjaka voatendriny Izy, ary mamindra fo amin'ny voahosony, dia amin'i Davida sy ny taranany mandrakizay."
mg_19,19,13,Arovy ny mpanomponao tsy ho azon'ny ota sahisahy; aoka tsy hanapaka ahy izany; dia ho marina tokoa aho ka tsy hanan-tsiny ny amin'izay fahadisoana lehibe.,"Arovy ny mpanomponao tsy ho azon'ny ota sahisahy; aoka tsy hanapaka ahy izany; dia ho marina tokoa aho ka tsy hanan-tsiny ny amin'izay fahadisoana lehibe.Aoka ny tenin'ny vavako sy ny fisainan'ny foko samy hankasitrahana eo imasonao, Jehovah ô, Vatolampiko sy Mpanavotra ahy."
mg_19,20,8,"Ireo dia reraka sady lavo; fa izahay kosa efa mitsangana sy mijoro,","Ireo dia reraka sady lavo; fa izahay kosa efa mitsangana sy mijoro,Jehovah ô, vonjeo ny mpanjaka; hamaly anay anie Izy amin'izay andro iantsoanay Azy.<n>[Na: Jehovah ô, vonjeo! Hamaly anay anie ny Mpanjaka]</n>"
mg_19,21,12,Fa hampiamboho azy ianao; ny tsipïkanao no ikendrenao ny tavany.,"Fa hampiamboho azy ianao; ny tsipìkanao no ikendrenao ny tavany.Misandrata amin'ny herinao, Jehovah ô, hihira sy hankalaza ny herinao izahay."
mg_19,22,30,Hisy taranaka hanompo Azy; ary ny Tompo dia holazaina amin'ny taranaka ho avy.,"Hisy taranaka hanompo Azy; ary ny Tompo dia holazaina amin'ny taranaka ho avy.Hisy ho avy ka hanambara ny fahamarinany, amin'ny olona izay mbola hateraka, fa Izy no nanao izany."
mg_19,26,11,Fa izaho kosa dia mandeha amin'ny fahamarinako; avoty sy amindrao fo aho.,Fa izaho kosa dia mandeha amin'ny fahamarinako; avoty sy amindrao fo aho.Ny tongotro mijoro eo amin'ny tany marina; eo am-piangonana no isaorako an'i Jehovah.
mg_19,27,13,Raha izay re aho no tsy nanantena hahita ny fahasoavan'i Jehovah amin'ny tanin'ny velona.,"Raha izay re aho no tsy nanantena hahita ny fahasoavan'i Jehovah amin'ny tanin'ny velona.Miandrasa an'i Jehovah ianao; matokia, ary aoka hahery ny fonao; eny, miandrasa an'i Jehovah."
mg_19,28,8,"Jehovah no heriny, ary Izy no fiarovana mafy hamonjena ny voahosony.","Jehovah no heriny, ary Izy no fiarovana mafy hamonjena ny voahosony.Vonjeo ny olonao, ary tahio ny lovanao; andraso izy, ka tezao mandrakizay.<n>[Heb: ento]</n>"
mg_19,29,10,"Jehovah nipetraka teo ambonin'ny safo-drano; eny, Jehovah mipetraka ho Mpanjaka mandrakizay.","Jehovah nipetraka teo ambonin'ny safo-drano; eny, Jehovah mipetraka ho Mpanjaka mandrakizay.Jehovah hanome hery ny olony; Jehovah hitahy ny olony amin'ny fiadanana."
mg_19,31,23,"Tiava an'i Jehovah, ry olony masina rehetra; miaro ny marina Jehovah, ary mamaly dia mamaly ny mpiavonavona Izy.","Tiava an'i Jehovah, ry olony masina rehetra; miaro ny marina Jehovah, ary mamaly dia mamaly ny mpiavonavona Izy.Mahereza, ary aoka hatanjaka ny fonareo, dia ianareo rehetra izay manantena an'i Jehovah."
mg_19,32,10,"Be ny fanaintainan'ny ratsy fanahy, fa izay matoky an'i Jehovah kosa dia ho hodidinin'ny famindram-po.","Be ny fanaintainan'ny ratsy fanahy, fa izay matoky an'i Jehovah kosa dia ho hodidinin'ny famindram-po.Mifalia amin'i Jehovah, ary ravoravoa, ianareo olo-marina, ary mihobia, ianareo mahitsy fo rehetra."
mg_19,33,21,"Fa Izy no ifalian'ny fontsika, satria ny anarany masina no itokiantsika.","Fa Izy no ifalian'ny fontsika, satria ny anarany masina no itokiantsika.Jehovah ô, aoka ny famindram-ponao hitoetra aminay araka ny anantenanay Anao."
mg_19,34,21,Hahafaty ny ratsy fanahy ny fahoriana; ary ny mankahala ny olo-marina hohelohina.,"Hahafaty ny ratsy fanahy ny fahoriana; ary ny mankahala ny olo-marina hohelohina.Fa Jehovah manavotra ny fanahin'ny mpanompony, ka tsy mba hisy hohelohina izay rehetra mialoka aminy."
mg_19,35,27,"Aoka hihoby sy hifaly izay mankasitraka ny fahamarinako; ary aoka izy hanao mandrakariva hoe: hankalazaina anie Jehovah, Izay mankasitraka ny fiadanan'ny mpanompony.","Aoka hihoby sy hifaly izay mankasitraka ny fahamarinako; ary aoka izy hanao mandrakariva hoe: hankalazaina anie Jehovah, Izay mankasitraka ny fiadanan'ny mpanompony.Ary ny lelako hilaza ny fahamarinanao; ny fiderana Anao no hataoko mandrakariva."
mg_19,36,11,"Aoka tsy hanitsaka ahy ny tongotry ny mpiavonavona, na hampandositra ahy ny tanan'ny ratsy fanahy.","Aoka tsy hanitsaka ahy ny tongotry ny mpiavonavona, na hampandositra ahy ny tanan'ny ratsy fanahy.Indreo! efa lavo ny mpanao ratsy; naripaka izy ka tsy maharina."
mg_19,37,39,Fa ny famonjena ny marina dia avy amin'i Jehovah; Fiarovana mafy ho azy amin'ny andro fahoriana Izy.,"Fa ny famonjena ny marina dia avy amin'i Jehovah; Fiarovana mafy ho azy amin'ny andro fahoriana Izy.Ary Jehovah mamonjy azy sy manafaka azy; eny, manafaka azy amin'ny ratsy fanahy Izy ka mamonjy azy, satria nialoka taminy izy."
mg_19,40,16,Aoka ho faly sy ho ravoravo aminao izay rehetra mitady Anao; aoka izay rehetra tia ny famonjenao hanao mandrakariva hoe: hankalazaina anie Jehovah.,"Aoka ho faly sy ho ravoravo aminao izay rehetra mitady Anao; aoka izay rehetra tia ny famonjenao hanao mandrakariva hoe: hankalazaina anie Jehovah.Fa na dia ory sy malahelo aza aho, ny Tompo no mihevitra ahy; Mpamonjy sy Mpanafaka ahy Hianao; aza ela, Andriamanitro ô."
mg_19,42,10,"Toy ny zavatra mahatorotoro ny taolako no fandatsan'ny fahavaloko ahy, ka hoy izy isan'andro: Aiza izay Andriamanitrao?","Toy ny zavatra mahatorotoro ny taolako no fandatsan'ny fahavaloko ahy, ka hoy izy isan'andro: Aiza izay Andriamanitrao?Nahoana no mitanondrika ianao, ry fanahiko? ary nahoana no mitoloko ato anatiko ianao? Manantenà an'Andriamanitra, fa mbola hidera Azy ihany aho, Izy no famonjena ny tavako sady Andriamanitro."
mg_19,43,4,"Dia hankany amin'ny alitaran'Andriamanitra aho, dia any amin'Andriamanitry ny fifaliako indrindra; ary hidera Anao amin'ny lokanga aho, ry Andriamanitra o, dia Andriamanitro.","Dia hankany amin'ny alitaran'Andriamanitra aho, dia any amin'Andriamanitry ny fifaliako indrindra; ary hidera Anao amin'ny lokanga aho, ry Andriamanitra ô, dia Andriamanitro.Nahoana no mitanondrika ianao ry fanahiko? ary nahoana no mitoloko ato anatiko ianao? manantenà an'Andriamanitra, fa mbola hidera Azy ihany aho. Izy no famonjena ny tavako sady Andriamanitro."
mg_19,44,25,"Fa miankohoka amin'ny vovoka ny fanahinay, miraikitra amin'ny tany ny kibonay.","Fa miankohoka amin'ny vovoka ny fanahinay, miraikitra amin'ny tany ny kibonay.Mitsangàna hamonjy anay, ary avoty izahay araka ny famindram-ponao."
mg_19,45,16,"Ho solon-drainao ny zanakao, hotendrenao ho mpanapaka eny amin'ny tany rehetra izy.","Ho solon-drainao ny zanakao, hotendrenao ho mpanapaka eny amin'ny tany rehetra izy.Hampahatsiaro ny anaranao hatramin'ny taranaka fara mandimby aho. Izany rehetra izany no hideran'ny firenena anao mandrakizay doria."
mg_19,46,10,"Mitsahara, ka aoka ho fantatrareo fa Izaho no Andriamanitra; hisandratra amin'ny firenen-tsamy hafa Aho, hisandratra amin'ny tany Aho.","Mitsahara, ka aoka ho fantatrareo fa Izaho no Andriamanitra; hisandratra amin'ny firenen-tsamy hafa Aho, hisandratra amin'ny tany Aho.Jehovah, Tompon'ny maro, no momba antsika; Andriamanitr'i Jakoba no aro ho antsika."
mg_19,47,8,Andriamanitra manjaka amin'ny firenen-tsamy hafa; Andriamanitra mipetraka eo ambonin'ny seza fiandrianany masina.,Andriamanitra manjaka amin'ny firenen-tsamy hafa; Andriamanitra mipetraka eo ambonin'ny seza fiandrianany masina.Ny mpanapaka ny firenen-tsamy hafa miangona ho olon'Andriamanitr'i Abrahama; fa an'Andriamanitra ny ampingan'ny tany; Avo indrindra Izy.
mg_19,48,13,"Hevero tsara ny mandany, diniho ny tranon'andrianany, mba hambaranareo amin'ny taranaka mandimby.","Hevero tsara ny mandany, diniho ny tranon'andrianany, mba hambaranareo amin'ny taranaka mandimby.Fa izany no Andriamanitra, dia Andriamanitsika mandrakizay doria; Izy no hitarika antsika na dia hatramin'ny fahafatesana aza."
mg_19,49,19,"Dia hankany amin'ny razany izy, tsy hahita ny mazava intsony mandrakizay ireny.","Dia hankany amin'ny razany izy, tsy hahita ny mazava intsony mandrakizay ireny.Izay olona manana voninahitra, nefa tsy manan-tsaina, dia tahaka ny biby izay samy tsy maintsy ho faty."
mg_19,50,22,"Mihevera izany ankehitriny, ianareo izay manadino an'Andriamanitra, fandrao hamiravira Aho, ka tsy hisy hamonjy.","Mihevera izany ankehitriny, ianareo izay manadino an'Andriamanitra, fandrao hamiravira Aho, ka tsy hisy hamonjy.Izay manatitra fanati-pisaorana no manome voninahitra Ahy; ary izay mitandrina ny lalany no hanehoako ny famonjen'Andriamanitra."
mg_19,51,18,Manaova soa amin'i Ziona araka ny fahasoavanao; ataovy ny mandan'i Jerosalema.,Manaova soa amin'i Ziona araka ny fahasoavanao; ataovy ny mandan'i Jerosalema.Dia ho sitrakao ny fanati-pahamarinana sy ny fanatitra dorana ary ny fanatitra levonina amin'ny afo; dia hanatitra vantotr'ombilahy eo amin'ny alitaranao ny olona.
mg_19,52,8,Fa izaho dia tahaka ny hazo oliva maitso ao an-tranon'Andriamanitra. Matoky ny famindram-pon'Andriamanitra mandrakizay doria aho.,"Fa izaho dia tahaka ny hazo oliva maitso ao an-tranon'Andriamanitra. Matoky ny famindram-pon'Andriamanitra mandrakizay doria aho.Hidera Anao mandrakizay aho, fa efa nataonao izany; ary hiandry ny anaranao eo anatrehan'ny olonao masina aho, fa tsara izany."
mg_19,53,5,"Indreo, matahotra dia matahotra ireny, nefa tsy nisy tokony hatahorany; fa Andriamanitra efa nanely ny taolan'izay nitoby hamely anao; nampahamenatra azy ianao, satria efa narian'Andriamanitra izy.","Indreo, matahotra dia matahotra ireny, nefa tsy nisy tokony hatahorany; fa Andriamanitra efa nanely ny taolan'izay nitoby hamely anao; nampahamenatra azy ianao, satria efa narian'Andriamanitra izy.Enga anie ka hivoaka avy ao Ziona ny famonjena ny Isiraely! raha ampodin'Andriamanitra avy amin'ny fahababoana ny olony, dia ho faly Jakoba, ary ho ravoravo Isiraely."
mg_19,54,6,"Sitrapoko ihany no hanaterako fanatitra ho Anao; hidera ny anaranao aho, Jehovah o, fa tsara izy.","Sitrapoko ihany no hanaterako fanatitra ho Anao; hidera ny anaranao aho, Jehovah ô, fa tsara izy.Fa efa namonjy ahy ho afaka tamin'ny fahoriana rehetra Izy; ary ny masoko dia faly mijery ny amin'ny fahavaloko."
mg_19,55,22,"Apetraho amin'i Jehovah ny entanao, ary Izy no hanohana anao; tsy havelany hangozohozo mandrakizay ny marina.","Apetraho amin'i Jehovah ny entanao, ary Izy no hanohana anao; tsy havelany hangozohozo mandrakizay ny marina.Fa Hianao, Andriamanitra ô, no hampidina ireo any an-davaka fanimbana; ny mpandatsa-drà sy mpamitaka tsy hahatratra ny an-tsasaky ny androny; fa izaho kosa dia hatoky Anao."
mg_19,56,12,"Nivoady taminao aho, Andriamanitra o, dia hanatitra fanati-pisaorana ho Anao.","Nivoady taminao aho, Andriamanitra ô, dia hanatitra fanati-pisaorana ho Anao.Fa efa nanafaka ny fanahiko tamin'ny fahafatesana Hianao; eny, nanafaka ny tongotro Hianao mba tsy ho solafaka. Handehanako eo anatrehan'Andriamanitra amin'ny fahazavan'ny velona.<n>[Na: fahazavan'aina]</n>"
mg_19,57,10,"Fa lehibe mihatra amin'ny lanitra ny famindram-ponao, ary mihatra amin'ny rahona ny fahamarinanao.","Fa lehibe mihatra amin'ny lanitra ny famindram-ponao, ary mihatra amin'ny rahona ny fahamarinanao.Misandrata any ambonin'ny lanitra Hianao, Andriamanitra ô; aoka ho ambonin'ny tany rehetra ny voninahitrao."
mg_19,58,10,"Hifaly ny marina, raha mahita ny famaliana; hanasa ny tongony amin'ny ran'ny ratsy fanahy izy;","Hifaly ny marina, raha mahita ny famaliana; hanasa ny tongony amin'ny ran'ny ratsy fanahy izy;Dia hiteny ny olona ka hanao hoe: misy valiny tokoa ho an'ny marina; misy tokoa Andriamanitra Izay mitsara etỳ ambonin'ny tany.<n>[Heb: vokatra]</n>"
mg_19,60,11,Vonjeo amin'ny mpandrafy izahay; fa zava-poana ny famonjena ataon'ny olona.,Vonjeo amin'ny mpandrafy izahay; fa zava-poana ny famonjena ataon'ny olona.Andriamanitra no haherezantsika; fa Izy no hanitsakitsaka ny fahavalontsika.
mg_19,61,7,Aoka hitoetra eo anatrehan'Andriamanitra mandrakizay izy; famindram-po sy fahamarinana no tendreo hiaro azy;,"Aoka hitoetra eo anatrehan'Andriamanitra mandrakizay izy; famindram-po sy fahamarinana no tendreo hiaro azy;Ka dia izany no hankalazako ny anaranao mandrakizay, mba hanefako isan'andro ny voadiko."
mg_19,62,11,Indray mandeha no nitenenan'Andriamanitra; indroa no nandrenesako hoe: an'Andriamanitra ny hery.,"Indray mandeha no nitenenan'Andriamanitra; indroa no nandrenesako hoe: an'Andriamanitra ny hery.Ary Anao koa, ry Tompo ô, ny famindram-po, fa Hianao no mamaly ny olona rehetra araka ny asany avy."
mg_19,64,9,Dia matahotra ny olona rehetra ka manambara ny ataon'Andriamanitra sady mandinika tsara ny asany.,"Dia matahotra ny olona rehetra ka manambara ny ataon'Andriamanitra sady mandinika tsara ny asany.Mifaly amin'i Jehovah ny marina ka mialoka aminy; eny, mifaly tena ny mahitsy fo rehetra."
mg_19,66,19,Kanefa efa nihaino tokoa Andriamanitra; efa nihaino ny feon'ny fivavako Izy.,"Kanefa efa nihaino tokoa Andriamanitra; efa nihaino ny feon'ny fivavako Izy.Isorana anie Andriamanitra, izay tsy nandà ny fivavako, na nanaisotra ny famindram-pony tamiko."
mg_19,67,6,"Ny tany efa nahavokatra; mitahy antsika Andriamanitra, dia Andriamanitsika.","Ny tany efa nahavokatra; mitahy antsika Andriamanitra, dia Andriamanitsika.Mitahy antsika Andriamanitra; ary hatahotra Azy ny vazan-tany rehetra."
mg_19,68,34,"Ekeo ho an'Andriamanitra ny hery; ambonin'ny Isiraely ny voninahiny, ary ny heriny any amin'ny lanitra.","Ekeo ho an'Andriamanitra ny hery; ambonin'ny Isiraely ny voninahiny, ary ny heriny any amin'ny lanitra.Mahatahotra Hianao, Andriamanitra ô, ao amin'ny fitoeranao masina; Andriamanitry ny Isiraely no manome hery sy tanjaka ho an'ny olona. Isaorana anie Andriamanitra."
mg_19,69,35,Fa Andriamanitra hamonjy an'i Ziona sady hanangana ny tanànan'ny Joda; ary hitoetra ao ny olony ka ho tompony;,Fa Andriamanitra hamonjy an'i Ziona sady hanangana ny tanànan'ny Joda; ary hitoetra ao ny olony ka ho tompony;Dia handova azy ny taranaky ny mpanompony; ary hitoetra ao izay tia ny anarany.
